;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
3;0.5258241653442383;0.005164523402849348;0.012590122222900391;0.0008089807420588838;3;0.1;5;2;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.3998185714066067;-0.40030320003675146;-0.544194216506783;-0.5942168518088282;-0.4556044729633746;-0.47882746254446873;0.07814767508335824;1;-3.400367627183861;-3.398896879871468;-3.5688233354986907;-3.6259481518631786;-3.4641016151377544;-3.4916275219109907;0.091308533192224;1
16;2.3144208431243896;0.0535407057740462;0.012200498580932617;0.0003999950313493807;3;0.5;10;10;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 10};-0.539406966029899;-0.48860624104318084;-0.4579307858119628;-0.565236602515631;-0.4475986483620762;-0.49975584875254997;0.045725186515425564;2;-3.565879975546008;-3.504425773218774;-3.4677081768799405;-3.5928401022032697;-3.4545622009163477;-3.5170832457528673;0.05408735937787936;2
25;4.743139362335205;0.13260152016159377;0.014410400390625;0.003848222255285833;3;1.0;10;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
26;4.955089855194092;0.23097442072081695;0.013650274276733399;0.0016956755664409382;3;1.0;10;20;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
24;4.532214260101318;0.03478211616765469;0.013392210006713867;0.0018402327301663278;3;1.0;10;2;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
23;4.515649604797363;0.011443726689157134;0.012199831008911134;0.0004009270078154266;3;1.0;5;20;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 5, 'min_samples_split': 20};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
22;4.559363269805909;0.06130772001549436;0.012409162521362305;0.0008087658697961509;3;1.0;5;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
21;4.516865205764771;0.012467254453468482;0.012607145309448241;0.0004940910703233567;3;1.0;5;2;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
20;4.539981746673584;0.06190992975589747;0.012200164794921874;0.0004010919207149859;3;1.0;1;20;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
19;4.54320764541626;0.026824098503369368;0.01240081787109375;0.0007996202914743162;3;1.0;1;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
