;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
7;0.46419148445129393;0.012146228310402513;0.01380782127380371;0.0024021886596065118;3;0.1;10;10;{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 10, 'min_samples_split': 10};-0.502845218262133;-0.5868486771937791;-0.4099797150603095;-0.3774712634758157;-0.5016986146072149;-0.4757686977198505;0.07447796481205485;1;-3.5232797220771443;-3.6182177933341713;-3.410205272413964;-3.370459909270543;-3.518522417151836;-3.488137022849532;0.08831823043066497;1
13;2.0145848751068116;0.052662181974061154;0.011406517028808594;0.0008143907618245576;3;0.5;5;10;{'max_depth': 3, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5048427971964646;-0.474909269685972;-0.4748439953438355;-0.4416764601316647;-0.5284453467979169;-0.48494357383117076;0.029540193685818523;2;-3.5256205127608387;-3.488266044899672;-3.4877643269005434;-3.448115427302282;-3.5497182986823055;-3.4998969221091287;0.03495045938253563;2
20;3.945068120956421;0.05253413250272129;0.01159968376159668;0.001182676611041161;3;1.0;1;20;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
22;3.9469395160675047;0.10603346602849724;0.011198472976684571;0.0003962769081447622;3;1.0;5;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 5, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
21;3.8950115203857423;0.016851496789150756;0.011000251770019532;1.8869742333802584e-06;3;1.0;5;2;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
25;3.902567005157471;0.015908863729813157;0.011001157760620116;0.0006317390798810186;3;1.0;10;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
19;3.942038631439209;0.03508346924512775;0.011199617385864257;0.00039844960899080976;3;1.0;1;10;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 10};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
18;3.9890066623687743;0.17283232298706228;0.012200212478637696;0.001469535516206556;3;1.0;1;2;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
26;4.062806701660156;0.1969499561972141;0.011193084716796874;0.0004034978845803595;3;1.0;10;20;{'max_depth': 3, 'max_features': 1.0, 'min_samples_leaf': 10, 'min_samples_split': 20};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
27;3.9333944797515867;0.07970442643232972;0.013191699981689453;0.0020409280886933487;3;;1;2;{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.5582931668635795;-0.48860624104318084;-0.4350161148332967;-0.46465452390179385;-0.5601653942712437;-0.5013470881826189;0.05022135102339404;3;-3.5876872773417694;-3.504425773218774;-3.4403488195239738;-3.475485577584807;-3.5863630602603522;-3.5188621015859356;0.05924111766513676;3
