;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
16;146.90989785194398;3.957152204948193;0.18600683212280272;0.0016799787016550732;5;sqrt;10;10;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10};-0.1461865794414745;-0.19975772118275414;-0.2304814590607578;-0.2194743395049541;-0.19189746261150997;-0.1975595123602901;0.02912106931208016;1;-3.076930288453087;-3.1461087075941925;-3.185749519343917;-3.171277345171816;-3.134645115479582;-3.142942195208519;0.03760794567449906;1
12;147.31477088928222;4.631803567148737;0.18479447364807128;0.0017200020715811364;5;sqrt;5;2;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2};-0.18565389656826836;-0.21054560127825472;-0.22363130609623583;-0.2560937340093288;-0.18740934881987292;-0.21266677735439213;0.025993284776372996;2;-3.1294568218781995;-3.160221511223541;-3.1768695283250143;-3.218540041695924;-3.128737764658457;-3.162765133556227;0.03341721055175706;2
15;149.19548506736754;1.9840929898972168;0.18580074310302735;0.0014690571590551887;5;sqrt;10;2;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2};-0.17215510558778524;-0.19436378113500385;-0.22557117242247204;-0.21953496764155078;-0.2539426032715739;-0.21311352601167716;0.027901923063321305;3;-3.111591232793922;-3.139028512135562;-3.179386733318235;-3.171356176779896;-3.2151982831545554;-3.163312187636434;0.035440140389069716;3
13;151.02285895347595;0.6990935779010206;0.18818674087524415;0.0023025400180901982;5;sqrt;5;10;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10};-0.20429796662202993;-0.20981832846282766;-0.23096642564231673;-0.22147506801264338;-0.20778781144136005;-0.21486912003623554;0.009901176777364561;4;-3.1539657575820317;-3.1592720680561843;-3.186377253245447;-3.1738777544196624;-3.155471438628466;-3.1657928543863583;0.012474097814018785;4
9;149.86001739501953;2.4207674487137223;0.18438777923583985;0.001344146432962081;5;sqrt;1;2;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.23202194092275308;-0.23448499811939372;-0.2330275336139429;-0.1746701465600322;-0.2422977674878668;-0.22330047734079775;0.02458283612839556;5;-3.1900626953086677;-3.1913163428278306;-3.189043743820395;-3.112474899497183;-3.20023436641756;-3.176626409574327;0.03232110757568696;5
14;147.34654083251954;4.073323323990378;0.18380026817321776;0.0022271156402919163;5;sqrt;5;20;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20};-0.19346261422065547;-0.231878937197447;-0.24266624442242946;-0.2362683333422253;-0.21761314163386292;-0.22437785416332404;0.017513585334688338;6;-3.1397452125928944;-3.187946047222255;-3.2014840308831776;-3.193039304487184;-3.1682802906308654;-3.1780989771632755;0.022065614737489827;6
25;316.3799160003662;7.178690877746876;0.41779532432556155;0.0030662225174490814;10;sqrt;10;10;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10};-0.28038756421156963;-0.1631516561395947;-0.2630348408479104;-0.2253552687548288;-0.19383826857546116;-0.22515351970587294;0.04315254547684145;7;-3.2520762598684554;-3.0977411124882597;-3.227615218702502;-3.178914909210374;-3.1371962004312066;-3.1787087401401597;0.05666343932872474;7
26;317.25986461639405;6.618605272895434;0.4196018695831299;0.007212786370672572;10;sqrt;10;20;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20};-0.14993960653021876;-0.21527287457853017;-0.30249899642227995;-0.23839031812310796;-0.22246515654374077;-0.22571339043957553;0.04882203499333744;8;-3.081963659746818;-3.166385952470103;-3.27765159832463;-3.1957784654133956;-3.174586587258253;-3.17927325264264;0.06262256008092595;8
24;323.88595786094663;12.382353482243099;0.42220163345336914;0.002777236328257288;10;sqrt;10;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2};-0.18843840053733674;-0.24321227190451777;-0.24072637809619302;-0.23220624819025004;-0.22956122834943726;-0.22682890541554696;0.019858331818946084;9;-3.1331294259892934;-3.2025770872845514;-3.1989842137778672;-3.187789202566569;-3.1837870531805357;-3.1812533965597636;0.025036510878500028;9
17;146.49207005500793;4.179006049881963;0.18739395141601561;0.002655256959729479;5;sqrt;10;20;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 20};-0.22167085008121679;-0.18460620419469143;-0.2692181647627887;-0.20152841107234676;-0.2761405714842653;-0.23063284031906178;0.03634726169041506;10;-3.1766334380913386;-3.1261797773000835;-3.235506142785082;-3.147856413497922;-3.2435320254315356;-3.1859415594211926;0.04665168756712543;10
21;338.68187336921693;4.281450448768358;0.44579424858093264;0.0046928589100635396;10;sqrt;5;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2};-0.15756672609766653;-0.24800015127274566;-0.25503289225218584;-0.26276282903495995;-0.27262286067460373;-0.23919709186643234;0.0416278969755246;11;-3.0921675245691334;-3.208738069709025;-3.217374706185153;-3.2270729771729676;-3.239058505183258;-3.1968823565639077;0.053321649359325304;11
22;339.3572441577911;3.2933236712652345;0.4520426750183105;0.02798983228804104;10;sqrt;5;10;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10};-0.21265147852923483;-0.22460620904317685;-0.27334038070604083;-0.2833763954778199;-0.22695327033537782;-0.24418554681833005;0.02849781128799479;12;-3.164885463962322;-3.1785216689524076;-3.2407560846197603;-3.25330601081423;-3.18040877875785;-3.2035756014213135;0.03610216029638561;12
11;147.90558714866637;4.022653333897308;0.18400049209594727;0.0026987027756248307;5;sqrt;1;20;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20};-0.19213089493110114;-0.27272742699726393;-0.2751590053868873;-0.2971389824852586;-0.2207063011389101;-0.25157252218788423;0.03890034741233409;13;-3.1379929891572416;-3.24037034920393;-3.2430695336363047;-3.270703288285258;-3.172302003277746;-3.2128876327120963;0.04952837132051664;13
20;339.9076929092407;7.021423788052918;0.426409912109375;0.011512856288095986;10;sqrt;1;20;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20};-0.23038755815830014;-0.2706668206868874;-0.2288446968479958;-0.2978665201244184;-0.23326088971821912;-0.25220529710716416;0.027591292426937364;14;-3.187946047222255;-3.2377461296401853;-3.1836300036279344;-3.271620393627598;-3.188573348693738;-3.213903184562342;0.035018855778501515;14
19;351.24388666152953;5.092494142008004;0.43735294342041015;0.0031656819856888878;10;sqrt;1;10;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10};-0.2140437305137688;-0.2658789413186595;-0.2719461017840583;-0.2225057463347866;-0.2897262132319234;-0.2528201466366393;0.029397160894816924;15;-3.166701754191575;-3.2316404502976503;-3.2389813213416345;-3.1752165280497016;-3.260751447136074;-3.2146583002033267;0.037040692945138724;15
10;147.62983093261718;4.112030793575055;0.18758869171142578;0.0028620811770305936;5;sqrt;1;10;{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10};-0.21156189001959924;-0.283151670685051;-0.3123195696988512;-0.19728444151058144;-0.27147050713350773;-0.2551576158095181;0.043742789382374296;16;-3.163463292026636;-3.253613375925296;-3.2899848023965097;-3.1422921570089564;-3.237591697543098;-3.2173890649800994;0.05574589264226923;16
23;329.6037069320679;7.3510268406998645;0.4180030822753906;0.0025933428123691214;10;sqrt;5;20;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20};-0.20986697456016645;-0.2681213658328929;-0.31322888203927457;-0.2891966965910979;-0.24084216301490335;-0.264251216407667;0.036170972646446115;17;-3.161249752866736;-3.234501507187777;-3.2911244279121386;-3.260674776790841;-3.1983589542138637;-3.229181883794271;0.0456548067007421;17
18;360.522029876709;5.901386322659759;0.4619851589202881;0.0036981536922852526;10;sqrt;1;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2};-0.2607749710381322;-0.2563637886501562;-0.2819485375287143;-0.28913606845450124;-0.28924101174093564;-0.2754928754824879;0.014137625060664183;18;-3.2270729771729676;-3.2194720064010496;-3.251691867320764;-3.2605981046427663;-3.2601380338875225;-3.243794597885014;0.017222274298129808;18
