;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
55;94.87364516258239;3.659534100546875;0.040201425552368164;0.0019378942824098953;25;0.1;1;10;{'max_depth': 25, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 10};-0.3309067859719119;-0.3140048915581506;-0.37353551769657267;-0.37755526513218696;-0.3286215542258941;-0.3449248029169433;0.025696932501645904;1;-3.3093806066996887;-3.2887687665751146;-3.3579755806140104;-3.362885665615172;-3.306206285155238;-3.325043380931845;0.02977440043605938;1
73;16.11083254814148;0.0818049609085665;0.038987350463867185;0.0009016303798309957;25;sqrt;1;10;{'max_depth': 25, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10};-0.370158328326635;-0.2720918287264602;-0.3209133694485309;-0.4334662976457315;-0.36933953251385243;-0.353193871332242;0.05405868980849406;2;-3.357826678076163;-3.2358924580399764;-3.2930229273419886;-3.4304518652795584;-3.3564862579787214;-3.3347360373432813;0.06584497888243417;2
36;416.4820150375366;8.447489892271292;0.04160008430480957;0.002153114881366167;10;0.5;1;2;{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.29530089770586265;-0.3042859204667441;-0.39667951808344304;-0.4304210344369328;-0.3627760375062412;-0.3578926816398448;0.05211534143567964;3;-3.264812398898289;-3.276583586603583;-3.386148254285391;-3.4268060931427096;-3.3484324690816147;-3.3405565604023173;0.062304628664635126;3
65;435.1275837421417;13.093836995435435;0.04040274620056152;0.0017412649950880115;25;0.5;1;20;{'max_depth': 25, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 20};-0.3034428585039013;-0.3701319496110227;-0.35514212791542854;-0.3957050338566275;-0.38295270734445364;-0.3614749354462867;0.031986761707336296;4;-3.2750572514079814;-3.358273365883129;-3.3354160160315836;-3.384966764977169;-3.3731291110777244;-3.3453685018755173;0.038853399583003094;4
41;324.33167843818666;14.842035893029605;0.035915184020996097;0.0007968782749982345;10;0.5;5;20;{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 20};-0.36942919750890013;-0.280595928431441;-0.3501478962529987;-0.4234778343208716;-0.38890847133284145;-0.36251186556941056;0.04759110865958925;5;-3.3569331241476945;-3.2466906227726717;-3.3292641829689633;-3.41847919402766;-3.3803845935041177;-3.3463503434842217;0.057787357294070765;5
27;83.2715986251831;0.477201191655435;0.04099493026733399;0.0008853501839799474;10;0.1;1;2;{'max_depth': 10, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2};-0.3642037599818009;-0.3171635571628577;-0.35343678051850125;-0.43139551866374837;-0.3767538509483763;-0.3685906934550569;0.03716105439720175;6;-3.3505223473363075;-3.292719240992162;-3.333316666625;-3.4279731620886413;-3.3655608745051695;-3.3540184583094566;0.04427393498955816;6
42;289.5955141067505;4.436166801684245;0.03499999046325684;0.002757198086108931;10;0.5;10;2;{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 2};-0.3576415826221877;-0.3515444173987079;-0.41032229725886116;-0.38340217049308056;-0.35803573555629997;-0.3721892406658275;0.021991019028726758;7;-3.3424541881677303;-3.3354160160315836;-3.4026460291955143;-3.370014836762592;-3.342603775501966;-3.3586269691318775;0.024997644289415328;7
59;71.23036432266235;2.4559959652213093;0.035799837112426756;0.0013265250960104817;25;0.1;5;20;{'max_depth': 25, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 20};-0.3705228937355023;-0.3497221103190691;-0.3380886539461556;-0.41592558156305093;-0.3892731099443756;-0.3727064699016307;0.027834464776349155;8;-3.358273365883129;-3.3331666624997918;-3.31436268383531;-3.4093987739776055;-3.380828300875393;-3.3592059574142454;0.03369474250738826;8
57;75.64458680152893;4.127945370714345;0.03860116004943848;0.001497102526235546;25;0.1;5;2;{'max_depth': 25, 'max_features': 0.1, 'min_samples_leaf': 5, 'min_samples_split': 2};-0.3397778775876852;-0.3283403739179751;-0.3913198548359573;-0.40715522352171063;-0.398510621436569;-0.3730207902599795;0.03240733756203695;9;-3.3203915431767985;-3.30665994622973;-3.3796449517663834;-3.3988233257996803;-3.3920495279402982;-3.359513858982578;0.03829662261853968;9
48;11.841669178009033;0.1481310181618703;0.03460097312927246;0.0015063790203923152;10;sqrt;5;2;{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2};-0.3905739912232091;-0.26686788176482934;-0.3602581701062104;-0.44053130829014453;-0.43084191165924657;-0.377814652608728;0.062490776699767325;10;-3.3827503602837736;-3.229241396984747;-3.341706151055176;-3.438895171417704;-3.431034829318991;-3.3647255818120785;0.0763004528123549;10
